timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
28488.98,333.4375,312.75,168.5,542.5625,51.8125,1645.875,288.0,257.8125,1919.8125,17.9375,-16.0625,0.0,0.0,147.55015563964844,0,55167
28538.532,333.4375,312.75,168.5,542.5625,51.8125,1645.875,288.0,257.8125,1919.8125,17.8125,-16.125,0.0,0.0,147.57720947265625,0,55086
28588.06,333.4375,312.75,168.5,542.5625,51.8125,1645.875,288.0,257.8125,1919.8125,17.8125,-16.125,0.0,0.0,147.54763793945312,0,55086
28637.62,334.0625,313.125,168.0,382.5625,51.3125,1464.0625,282.75,276.4375,1919.8125,17.8125,-16.125,0.0,0.0,147.56431579589844,0,55086
28687.149,334.0625,313.125,168.0,382.5625,51.3125,1464.0625,282.75,276.4375,1919.3125,21.75,-15.625,0.0,0.0,147.61685180664062,0,54974
28736.713,334.0625,313.125,168.0,382.5625,51.3125,1464.0625,282.75,276.4375,1919.3125,21.75,-15.625,0.0,0.0,147.69171142578125,0,54974
28786.252,335.8125,311.5625,176.625,383.9375,53.5,1785.6875,282.5625,276.4375,1919.3125,21.75,-15.625,0.0,0.0,147.7288360595703,0,54974
28835.794,335.8125,311.5625,176.625,383.9375,53.5,1785.6875,282.5625,255.1875,1917.875,17.9375,-16.25,0.0,0.0,147.71621704101562,0,55060
28885.331,335.8125,311.5625,176.625,383.9375,53.5,1785.6875,282.5625,255.1875,1917.875,17.9375,-16.25,0.0,0.0,147.68887329101562,0,55060
28934.906,337.6875,310.6875,174.0,384.25,50.4375,1912.0,282.5625,255.1875,1917.875,17.9375,-16.25,0.0,0.0,147.6423797607422,0,55060
28984.422,337.6875,310.6875,174.0,384.25,50.4375,1912.0,298.375,279.1875,1920.75,17.875,-15.875,0.0,0.0,147.63235473632812,0,55027
29033.975,337.6875,310.6875,174.0,384.25,50.4375,1912.0,298.375,279.1875,1920.75,17.875,-15.875,0.0,0.0,147.60121154785156,0,55027
