timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs,sys.rangingUs
34810.991,244.1875,265.125,264.625,347.0,62.25,1403.0625,437.5625,178.5,1926.375,20.375,-14.5625,1.3591662645339966,0.9651196002960205,0.013378546573221684,13,0,0,8191,20,2.0,312,57139
34860.534,244.1875,265.125,264.625,347.0,62.25,1403.0625,437.5625,178.5,1926.375,16.4375,-13.8125,1.3778358697891235,0.9780687689781189,0.017644213512539864,21,0,0,8191,24,2.0,338,62407
34910.095,244.1875,265.125,264.625,347.0,62.25,1403.0625,437.5625,178.5,1926.375,16.4375,-13.8125,1.4109580516815186,1.001567006111145,0.015218686312437057,12,0,0,8191,24,2.0,338,62407
34959.634,247.625,267.375,278.5625,349.5,62.25,1398.3125,426.25,178.5,1926.375,16.4375,-13.8125,1.4389399290084839,1.0216110944747925,0.013592930510640144,12,0,0,8191,24,2.0,338,62407
35009.182,247.625,267.375,278.5625,349.5,62.25,1398.3125,426.25,212.3125,1923.125,20.5625,-14.625,1.4435306787490845,1.0225032567977905,0.019995080307126045,26,0,0,8191,18,2.0,23315,59474
35058.732,247.625,267.375,278.5625,349.5,62.25,1398.3125,426.25,212.3125,1923.125,20.5625,-14.625,1.4720516204833984,1.0424734354019165,0.016473596915602684,13,0,0,8191,18,2.0,23315,59474
35108.313,257.25,272.3125,283.75,354.0,61.0625,1401.875,426.25,212.3125,1923.125,20.5625,-14.625,1.501649260520935,1.063096284866333,0.015163037925958633,15,0,0,8191,17,2.0,312,59474
35157.839,257.25,272.3125,283.75,354.0,61.0625,1401.875,375.875,190.6875,1924.4375,16.4375,-13.6875,1.5316697359085083,1.084787368774414,0.015377342700958252,11,0,0,8191,17,2.0,312,62542
35207.393,257.25,272.3125,283.75,354.0,61.0625,1401.875,375.875,190.6875,1924.4375,16.4375,-13.6875,1.5660641193389893,1.108984351158142,0.012870687991380692,11,0,0,8191,25,2.0,305,62542
35256.96,264.25,278.375,287.75,354.0,61.0625,1401.875,375.875,190.6875,1924.4375,16.4375,-13.6875,1.5608543157577515,1.1044583320617676,0.017369795590639114,24,0,0,8191,25,2.0,305,62542
35306.499,264.25,278.375,287.75,357.6875,61.3125,1402.5,392.875,191.8125,1922.0625,20.4375,-14.625,1.5910180807113647,1.1254686117172241,0.015469871461391449,13,0,0,8191,14,2.0,23332,59433
35356.045,264.25,278.375,287.75,357.6875,61.3125,1402.5,392.875,191.8125,1922.0625,20.4375,-14.625,1.6200463771820068,1.145803689956665,0.014563935808837414,14,0,0,8191,14,2.0,23332,59433
35405.607,265.625,279.9375,287.75,357.6875,61.3125,1402.5,392.875,191.8125,1922.0625,20.4375,-14.625,1.6585233211517334,1.1728414297103882,0.017966378480196,21,0,0,8191,17,2.0,310,59433
35455.157,265.625,279.9375,289.5625,358.375,60.9375,1399.9375,385.875,189.875,1922.125,20.5625,-14.625,1.6856436729431152,1.1917668581008911,0.015166161581873894,12,0,0,8191,17,2.0,310,59433
35504.706,265.625,279.9375,289.5625,358.375,60.9375,1399.9375,385.875,189.875,1922.125,20.5625,-14.5,1.718084454536438,1.2145028114318848,0.014885634183883667,15,0,0,8191,18,2.0,305,62990
35554.253,265.625,279.9375,289.5625,358.375,60.9375,1399.9375,385.875,189.875,1922.125,20.5625,-14.5,1.7316147089004517,1.223796010017395,0.02081778645515442,26,0,0,8191,18,2.0,305,62990
35603.806,495.125,283.0,288.5625,360.875,59.625,1399.625,429.1875,211.0625,1922.125,20.5625,-14.5,1.7482352256774902,1.2360007762908936,0.018062690272927284,14,0,0,8191,18,2.0,305,62990
35653.349,495.125,283.0,288.5625,360.875,59.625,1399.625,429.1875,211.0625,1919.375,16.5,-14.0625,1.7883623838424683,1.265072226524353,0.014642567373812199,11,0,0,8191,16,2.0,24175,59320
35702.914,495.125,283.0,288.5625,360.875,59.625,1399.625,429.1875,211.0625,1919.375,16.5,-14.0625,1.80793297290802,1.2774579524993896,0.01894417032599449,22,0,0,8191,16,2.0,24175,59320
35752.477,272.5,284.1875,289.25,363.375,59.375,1398.0,429.1875,211.0625,1919.375,16.5,-14.0625,1.8440035581588745,1.3035880327224731,0.012668631970882416,12,0,0,8191,18,2.0,331,59320
35802.002,272.5,284.1875,289.25,363.375,59.375,1398.0,435.5625,203.0,1922.375,20.5,-14.5,1.8333377838134766,1.2936761379241943,0.017465440556406975,24,0,0,8191,18,2.0,331,62456
35851.555,272.5,284.1875,289.25,363.375,59.375,1398.0,435.5625,203.0,1922.375,20.5,-14.5,1.8580695390701294,1.3109508752822876,0.015367727726697922,12,0,0,8191,20,2.0,310,62456
35901.133,274.625,284.9375,291.375,362.9375,59.375,1398.0,435.5625,203.0,1922.375,20.5,-14.5,1.884785771369934,1.3294479846954346,0.014721093699336052,14,0,0,8191,20,2.0,310,62456
35950.659,274.625,284.9375,291.375,362.9375,58.0,1403.0625,420.375,190.25,1922.8125,16.0,-13.6875,1.961856722831726,1.3850951194763184,0.018609637394547462,23,0,0,8191,18,2.0,23147,59383
36000.208,274.625,284.9375,291.375,362.9375,58.0,1403.0625,420.375,190.25,1922.8125,16.0,-13.6875,1.9906795024871826,1.405638337135315,0.013853807933628559,9,0,0,8191,18,2.0,23147,59383
36049.764,275.875,286.5625,291.375,362.9375,58.0,1403.0625,420.375,190.25,1922.8125,16.0,-13.6875,2.0248653888702393,1.42965829372406,0.012466954067349434,13,0,0,8191,18,2.0,349,59383
36099.32,275.875,286.5625,289.875,365.25,57.0,1399.1875,384.625,201.1875,1923.9375,20.625,-14.625,2.040834665298462,1.4402176141738892,0.01299233827739954,14,0,0,8191,18,2.0,349,57177
36148.861,275.875,286.5625,289.875,365.25,57.0,1399.1875,384.625,201.1875,1923.9375,20.625,-14.625,2.032196521759033,1.4327946901321411,0.01904349960386753,23,0,0,8191,24,2.0,310,57177
36198.431,280.25,286.5625,289.875,365.25,57.0,1399.1875,384.625,201.1875,1923.9375,20.625,-14.625,2.0438520908355713,1.4405373334884644,0.017064442858099937,14,0,0,8191,24,2.0,310,57177
36247.98,280.25,288.3125,297.0625,514.75,55.875,1400.25,386.625,213.4375,1922.5625,16.4375,-14.625,2.0445597171783447,1.4402753114700317,0.014853865839540958,13,0,0,8191,24,2.0,310,57177
36297.525,280.25,288.3125,297.0625,514.75,55.875,1400.25,386.625,213.4375,1922.5625,16.4375,-13.875,2.118833303451538,1.4933582544326782,0.017737749963998795,20,0,0,8191,26,2.0,19039,59960
36347.071,280.25,288.3125,297.0625,514.75,55.875,1400.25,386.625,213.4375,1922.5625,16.4375,-13.875,2.129040479660034,1.499664545059204,0.01339837908744812,10,0,0,8191,26,2.0,19039,59960
36396.635,285.125,290.125,292.25,370.125,56.75,1400.625,386.875,212.6875,1922.5625,16.4375,-13.875,2.164379119873047,1.5244824886322021,0.013068240135908127,14,0,0,8191,19,2.0,329,59960
36446.17,285.125,290.125,292.25,370.125,56.75,1400.625,386.875,212.6875,1922.875,20.4375,-14.6875,2.1914682388305664,1.5451921224594116,0.017297964543104172,21,0,0,8191,19,2.0,329,60520
36495.731,285.125,290.125,292.25,370.125,56.75,1400.625,386.875,212.6875,1922.875,20.4375,-14.6875,2.227581739425659,1.570302963256836,0.013477424159646034,10,0,0,8191,26,2.0,313,60520
36545.286,291.8125,293.5,296.125,371.3125,57.8125,1400.5,386.875,212.6875,1922.875,20.4375,-14.6875,2.206453323364258,1.5554245710372925,0.017055846750736237,24,0,0,8191,26,2.0,313,60520
36594.838,291.8125,293.5,296.125,371.3125,57.8125,1400.5,438.6875,192.25,1923.0,16.5,-13.875,2.2102673053741455,1.5581862926483154,0.014134795404970646,10,0,0,8191,22,2.0,22303,59607
36644.375,291.8125,293.5,296.125,371.3125,57.8125,1400.5,438.6875,192.25,1923.0,16.5,-13.875,2.2317535877227783,1.573118805885315,0.012724192813038826,12,0,0,8191,22,2.0,22303,59607
36693.963,299.3125,299.125,301.5,527.0625,57.8125,1400.5,438.6875,192.25,1923.0,16.5,-13.875,2.3274643421173096,1.639699101448059,0.016207385808229446,20,0,0,8191,24,2.0,412,59607
36743.478,299.3125,299.125,301.5,527.0625,58.6875,1399.625,414.6875,211.75,1922.3125,20.5625,-14.0625,2.354741096496582,1.6592258214950562,0.013071535155177116,10,0,0,8191,24,2.0,412,62718
36793.029,299.3125,299.125,301.5,527.0625,58.6875,1399.625,414.6875,211.75,1922.3125,20.5625,-14.0625,2.397036552429199,1.6890108585357666,0.01157873310148716,11,0,0,8191,18,2.0,329,62718
36842.594,297.75,297.375,301.5,527.0625,58.6875,1399.625,414.6875,211.75,1922.3125,20.5625,-14.0625,2.4362716674804688,1.716455101966858,0.01062941737473011,11,0,0,8191,18,2.0,329,62718
