timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs
38711.212,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.23625373840332,14.46806812286377,0.01660306379199028,23,0,0,8191,21,2.0,341
38760.756,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.282914638519287,14.471470832824707,0.013447336852550507,8,0,0,8191,16,2.0,327
38810.309,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.3924994468688965,14.595926284790039,0.011836635880172253,10,0,0,8191,16,2.0,327
38859.854,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.770758152008057,14.082077980041504,0.015968136489391327,23,0,0,8191,21,2.0,311
38909.383,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.545073986053467,13.827488899230957,0.013673113659024239,10,0,0,8191,21,2.0,311
38958.929,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.511089324951172,13.838494300842285,0.013177381828427315,13,0,0,8191,22,2.0,394
39008.484,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.08483362197876,15.628717422485352,0.017604200169444084,23,0,0,8191,22,2.0,394
39058.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.904717922210693,16.449840545654297,0.014368725009262562,13,0,0,8191,26,2.0,346
39107.551,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.3741066455841064,12.835391998291016,0.01788126491010189,23,0,0,8191,26,2.0,346
39157.094,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.2184898853302,12.656952857971191,0.016011329367756844,12,0,0,8191,21,2.0,311
39206.648,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,2.6035025119781494,12.025931358337402,0.015160265378654003,14,0,0,8191,21,2.0,311
39256.186,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.001799583435059,15.731260299682617,0.017893079668283463,21,0,0,8191,28,2.0,368
39305.723,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.172051429748535,14.868393898010254,0.016550935804843903,14,0,0,8191,28,2.0,368
39355.264,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.113848686218262,14.848934173583984,0.015903960913419724,15,0,0,8191,18,2.0,382
39404.818,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.296860694885254,15.07369613647461,0.01655455492436886,13,0,0,8191,18,2.0,382
39454.349,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.023772239685059,15.850274085998535,0.014315865933895111,11,0,0,8191,19,2.0,314
39503.891,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.627849578857422,14.445319175720215,0.01620524376630783,20,0,0,8191,19,2.0,314
39553.434,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.14361047744751,15.020279884338379,0.013876610435545444,11,0,0,8191,21,2.0,311
39603.005,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.289487838745117,15.211066246032715,0.012681004591286182,12,0,0,8191,21,2.0,311
39652.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.617674350738525,14.5639066696167,0.016147430986166,22,0,0,8191,18,2.0,370
