timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
32702.509,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6786117553711
32706.431,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6786117553711
32710.42,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.67327117919922
32714.351,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.67327117919922
32718.33,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.67327117919922
32722.339,281.3125,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6613540649414
32726.254,281.3125,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6613540649414
32730.257,281.3125,244.75,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.65062713623047
32734.174,281.3125,244.75,256.6875,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.65062713623047
32738.143,281.3125,244.75,256.6875,308.5625,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.65062713623047
32773.797,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64563751220703
32777.761,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64563751220703
32781.77,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64195251464844
32785.692,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64195251464844
32789.682,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.63863372802734
32793.613,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.63863372802734
32797.581,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.63863372802734
32801.585,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64330291748047
32805.505,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64330291748047
32809.507,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64750671386719
32813.428,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64750671386719
32817.391,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.64750671386719
32821.401,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.65238189697266
32825.324,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.65238189697266
32829.313,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.65676879882812
32833.244,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.65676879882812
32837.207,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.65676879882812
32841.216,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.66837310791016
32845.135,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.66837310791016
32849.138,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.67881774902344
32853.059,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.67881774902344
32857.023,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.67881774902344
32861.032,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.68384552001953
32864.951,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.68384552001953
32868.944,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.68836975097656
